,score
0,-116.0
1,36.0
2,-5.0
3,-120.0
4,-125.0
5,-10.0
6,47.0
7,-118.0
8,-96.0
9,-105.0
10,19.0
11,-125.0
12,30.0
13,-112.0
14,-122.0
15,-115.0
16,29.0
17,12.0
18,-102.0
19,38.0
20,-115.0
21,57.0
22,54.0
23,-117.0
24,12.0
25,4.0
26,-118.0
27,-128.0
28,-120.0
29,-129.0
30,-106.0
31,-106.0
32,-116.0
33,-6.0
34,-121.0
35,-122.0
36,-22.0
37,-113.0
38,-125.0
39,-122.0
40,53.0
41,-102.0
42,-120.0
43,-126.0
44,-133.0
45,-116.0
46,-120.0
47,61.0
48,-121.0
49,-129.0
50,-123.0
51,-120.0
52,-108.0
53,-129.0
54,34.0
55,38.0
56,-111.0
57,-114.0
58,33.0
59,-104.0
60,-112.0
61,-123.0
62,-104.0
63,65.0
64,53.0
65,-106.0
66,-109.0
67,-135.0
68,-97.0
69,-101.0
70,72.0
71,27.0
72,-3.0
73,-122.0
74,-115.0
75,-117.0
76,52.0
77,-119.0
78,-123.0
79,-124.0
80,35.0
81,21.0
82,-106.0
83,-121.0
84,66.0
85,-110.0
86,13.0
87,58.0
88,-108.0
89,-113.0
90,19.0
91,-121.0
92,10.0
93,-117.0
94,-123.0
95,32.0
96,-121.0
97,47.0
98,7.0
99,-5.0
100,-97.0
