,score
0,-117.0
1,-112.0
2,-115.0
3,-118.0
4,2.0
5,39.0
6,41.0
7,-106.0
8,38.0
9,-105.0
10,1.0
11,36.0
12,16.0
13,18.0
14,-132.0
15,-128.0
16,-127.0
17,18.0
18,-95.0
19,-118.0
20,-104.0
21,49.0
22,-136.0
23,-103.0
24,-107.0
25,-122.0
26,64.0
27,5.0
28,-132.0
29,-112.0
30,28.0
31,-103.0
32,62.0
33,3.0
34,14.0
35,35.0
36,38.0
37,-130.0
38,-137.0
39,21.0
40,-118.0
41,-134.0
42,55.0
43,-122.0
44,-115.0
45,-132.0
46,-117.0
47,-107.0
48,60.0
49,-5.0
50,-106.0
51,-124.0
52,51.0
53,10.0
54,-126.0
55,43.0
56,-106.0
57,2.0
58,35.0
59,-116.0
60,-119.0
61,67.0
62,-122.0
63,58.0
64,-109.0
65,-116.0
66,22.0
67,62.0
68,-100.0
69,-113.0
70,-104.0
71,-123.0
72,-129.0
73,-130.0
74,-132.0
75,-107.0
76,52.0
77,11.0
78,66.0
79,-136.0
80,58.0
81,-109.0
82,15.0
83,-116.0
84,-129.0
85,27.0
86,-109.0
87,-116.0
88,65.0
89,-136.0
90,58.0
91,-124.0
92,-12.0
93,-134.0
94,34.0
95,-101.0
96,-110.0
97,-108.0
98,-118.0
99,-115.0
100,-99.0
101,46.0
102,-112.0
103,-133.0
104,3.0
105,35.0
106,32.0
107,62.0
108,0.0
109,-135.0
110,-132.0
111,-131.0
112,-121.0
113,43.0
114,3.0
115,-106.0
116,25.0
117,15.0
118,-122.0
119,-120.0
120,9.0
121,-112.0
122,-120.0
123,-105.0
124,49.0
125,-120.0
126,-102.0
127,47.0
128,-115.0
129,-121.0
130,-108.0
131,33.0
132,-117.0
133,-123.0
134,-118.0
135,-111.0
136,-128.0
137,-5.0
138,-10.0
139,-114.0
140,-131.0
141,52.0
142,25.0
143,56.0
144,10.0
145,-108.0
146,-119.0
147,-106.0
148,-119.0
149,-129.0
150,-110.0
151,-121.0
152,1.0
153,47.0
154,9.0
155,-121.0
156,-103.0
157,-124.0
158,-132.0
159,-107.0
160,52.0
161,15.0
162,-122.0
163,6.0
164,56.0
165,-126.0
166,25.0
167,-107.0
168,-139.0
169,-132.0
170,-117.0
171,-121.0
172,43.0
173,3.0
174,-139.0
175,-105.0
176,25.0
177,-111.0
178,-15.0
179,-109.0
180,-118.0
181,-123.0
182,-127.0
183,46.0
184,22.0
185,-6.0
186,-113.0
187,44.0
188,51.0
189,-120.0
190,47.0
191,-112.0
192,13.0
193,-119.0
194,-126.0
195,-115.0
196,-1.0
197,-104.0
198,-113.0
199,45.0
200,-11.0
