,score
0,30.0
1,-142.0
2,-128.0
3,33.0
4,-119.0
5,-100.0
6,-114.0
7,-128.0
8,15.0
9,-92.0
10,60.0
11,-5.0
12,-106.0
13,-122.0
14,-126.0
15,55.0
16,-117.0
17,23.0
18,-3.0
19,-114.0
20,-121.0
21,-115.0
22,-5.0
23,-10.0
24,-118.0
25,-109.0
26,-95.0
27,-115.0
28,-116.0
29,-119.0
30,-123.0
31,-116.0
32,-126.0
33,-113.0
34,35.0
35,12.0
36,61.0
37,-108.0
38,-118.0
39,-23.0
40,-109.0
41,22.0
42,-119.0
43,-2.0
44,69.0
45,-104.0
46,-149.0
47,45.0
48,35.0
49,-128.0
50,-115.0
51,-118.0
52,-130.0
53,-125.0
54,13.0
55,-116.0
56,52.0
57,-113.0
58,-125.0
59,17.0
60,-124.0
61,-114.0
62,-104.0
63,-6.0
64,-108.0
65,-111.0
66,-129.0
67,-116.0
68,23.0
69,-3.0
70,-114.0
71,-121.0
72,-115.0
73,-5.0
74,-1.0
75,-1.0
76,-115.0
77,61.0
78,-128.0
79,-105.0
80,-109.0
81,-126.0
82,7.0
83,-119.0
84,-116.0
85,44.0
86,-107.0
87,34.0
88,45.0
89,-120.0
90,-109.0
91,56.0
92,22.0
93,-112.0
94,-106.0
95,-117.0
96,-129.0
97,-104.0
98,-107.0
99,-119.0
100,-102.0
101,-130.0
102,-111.0
103,47.0
104,12.0
105,-101.0
106,-124.0
107,17.0
108,8.0
109,-110.0
110,-124.0
111,21.0
112,-125.0
113,-111.0
114,-122.0
115,-106.0
116,-128.0
117,-128.0
118,11.0
119,11.0
120,56.0
121,-103.0
122,44.0
123,39.0
124,26.0
125,-126.0
126,4.0
127,-113.0
128,-95.0
129,-109.0
130,-113.0
131,-104.0
132,9.0
133,25.0
134,-129.0
135,8.0
136,-120.0
137,-117.0
138,24.0
139,21.0
140,-95.0
141,18.0
142,-123.0
143,-129.0
144,4.0
145,32.0
146,41.0
147,-124.0
148,-109.0
149,17.0
150,-117.0
151,-123.0
152,-112.0
153,-128.0
154,46.0
155,41.0
156,-144.0
157,-113.0
158,19.0
159,10.0
160,-112.0
161,41.0
162,-109.0
163,-119.0
164,48.0
165,-108.0
166,-134.0
167,-112.0
168,-120.0
169,21.0
170,61.0
171,70.0
172,-122.0
173,33.0
174,25.0
175,-122.0
176,54.0
177,-122.0
178,-92.0
179,-130.0
180,-128.0
181,-127.0
182,18.0
183,20.0
184,-116.0
185,-137.0
186,-126.0
187,-110.0
188,-135.0
189,-111.0
190,42.0
191,-118.0
192,-116.0
193,26.0
194,-111.0
195,-127.0
196,-109.0
197,-116.0
198,-117.0
199,-112.0
200,41.0
