,score
0,-111.0
1,-118.0
2,-108.0
3,-106.0
4,11.0
5,-139.0
6,8.0
7,32.0
8,-116.0
9,-106.0
10,26.0
11,-127.0
12,1.0
13,-122.0
14,23.0
15,-105.0
16,55.0
17,-1.0
18,52.0
19,53.0
20,-119.0
21,53.0
22,-128.0
23,-117.0
24,-128.0
25,-126.0
26,52.0
27,-128.0
28,38.0
29,-119.0
30,-100.0
31,-114.0
32,-128.0
33,15.0
34,-92.0
35,60.0
36,-5.0
37,-106.0
38,-122.0
39,-126.0
40,55.0
41,-117.0
42,23.0
43,-119.0
44,-109.0
45,-121.0
46,63.0
47,64.0
48,-109.0
49,-115.0
50,50.0
51,36.0
52,-122.0
53,-129.0
54,50.0
55,-128.0
56,10.0
57,-117.0
58,-108.0
59,-100.0
60,-107.0
61,-122.0
62,64.0
63,5.0
64,-132.0
65,-112.0
66,28.0
67,-103.0
68,62.0
69,3.0
70,14.0
71,53.0
72,-101.0
73,-119.0
74,-123.0
75,-110.0
76,-128.0
77,-107.0
78,52.0
79,10.0
80,-126.0
81,24.0
82,13.0
83,-116.0
84,-118.0
85,7.0
86,-119.0
87,-100.0
88,-114.0
89,-128.0
90,15.0
91,-92.0
92,60.0
93,-5.0
94,-106.0
95,-122.0
96,-126.0
97,55.0
98,-134.0
99,-119.0
100,-4.0
101,-122.0
102,-117.0
103,23.0
104,-114.0
105,-116.0
106,-119.0
107,-123.0
108,-110.0
109,-128.0
110,14.0
111,25.0
112,29.0
113,-114.0
114,11.0
115,-108.0
116,-118.0
117,-23.0
118,-109.0
119,22.0
120,-119.0
121,-116.0
122,-114.0
123,-128.0
124,-128.0
125,11.0
126,11.0
127,56.0
128,-103.0
129,44.0
130,-130.0
131,34.0
132,-124.0
133,-107.0
134,-119.0
135,-5.0
136,-117.0
137,-122.0
138,-94.0
139,30.0
140,32.0
141,-136.0
142,25.0
143,2.0
144,-125.0
145,-111.0
146,55.0
147,-120.0
148,-114.0
149,-3.0
150,-110.0
151,1.0
152,58.0
153,-1.0
154,-103.0
155,-107.0
156,-120.0
157,-134.0
158,-117.0
159,-128.0
160,-125.0
161,45.0
162,55.0
163,14.0
164,-100.0
165,-129.0
166,52.0
167,-127.0
168,-143.0
169,-100.0
170,-106.0
171,19.0
172,-111.0
173,-139.0
174,-132.0
175,-117.0
176,65.0
177,-132.0
178,-127.0
179,3.0
180,-128.0
181,-110.0
182,58.0
183,11.0
184,-97.0
185,-130.0
186,53.0
187,-124.0
188,65.0
189,42.0
190,-93.0
191,38.0
192,-105.0
193,1.0
194,36.0
195,-106.0
196,-4.0
197,-128.0
198,-114.0
199,-100.0
200,-129.0
