,score
0,-489.0
1,-92.0
2,-490.0
3,-65.0
4,-465.0
5,31.0
6,-71.0
7,-429.0
8,-28.0
9,-480.0
10,-289.0
11,-84.0
12,-458.0
13,-161.0
14,-345.0
15,-459.0
16,-378.0
17,-349.0
18,-589.0
19,-74.0
20,-427.0
21,-279.0
22,-189.0
23,-523.0
24,-542.0
25,4.0
26,-198.0
27,-518.0
28,-477.0
29,-122.0
30,-520.0
31,-77.0
32,-378.0
33,-275.0
34,-394.0
35,-485.0
36,-466.0
37,-323.0
38,-52.0
39,-448.0
40,-435.0
41,-164.0
42,-539.0
43,-55.0
44,-106.0
45,-477.0
46,-592.0
47,-488.0
48,-488.0
49,-451.0
50,39.0
51,-39.0
52,-527.0
53,-488.0
54,-14.0
55,-132.0
56,-133.0
57,-458.0
58,-475.0
59,-470.0
60,-395.0
61,-511.0
62,-43.0
63,-97.0
64,-7.0
65,-445.0
66,-135.0
67,-336.0
68,-487.0
69,-422.0
70,-332.0
71,-304.0
72,-391.0
73,-558.0
74,-419.0
75,-488.0
76,-199.0
77,-447.0
78,-422.0
79,-485.0
80,-442.0
81,-24.0
82,-592.0
83,-528.0
84,-43.0
85,-572.0
86,32.0
87,-505.0
88,-31.0
89,-515.0
90,-169.0
91,-436.0
92,-421.0
93,-532.0
94,63.0
95,45.0
96,-493.0
97,-255.0
98,-72.0
99,-223.0
100,-435.0
