,steps
0,10
1,7
2,10
3,10
4,10
5,10
6,5
7,10
8,10
9,10
10,8
11,10
12,7
13,10
14,10
15,10
16,7
17,8
18,10
19,6
20,10
21,5
22,5
23,10
24,10
25,9
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,9
34,10
35,10
36,10
37,10
38,10
39,10
40,5
41,10
42,10
43,10
44,10
45,10
46,10
47,4
48,10
49,10
50,10
51,10
52,10
53,10
54,7
55,6
56,10
57,10
58,6
59,10
60,10
61,10
62,10
63,4
64,5
65,10
66,10
67,10
68,10
69,10
70,4
71,8
72,10
73,10
74,10
75,10
76,5
77,10
78,10
79,10
80,7
81,7
82,10
83,10
84,4
85,10
86,8
87,5
88,10
89,10
90,8
91,10
92,9
93,10
94,10
95,8
96,10
97,5
98,9
99,9
100,10
