,steps
0,7
1,10
2,10
3,7
4,10
5,10
6,10
7,10
8,9
9,10
10,4
11,10
12,10
13,10
14,10
15,5
16,10
17,7
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,7
35,9
36,4
37,10
38,10
39,10
40,10
41,7
42,10
43,10
44,4
45,10
46,10
47,6
48,7
49,10
50,10
51,10
52,10
53,10
54,8
55,10
56,5
57,10
58,10
59,8
60,10
61,10
62,10
63,9
64,10
65,10
66,10
67,10
68,7
69,10
70,10
71,10
72,10
73,10
74,9
75,10
76,10
77,5
78,10
79,10
80,10
81,10
82,8
83,10
84,10
85,6
86,10
87,7
88,6
89,10
90,10
91,5
92,9
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,6
104,8
105,10
106,10
107,8
108,9
109,10
110,10
111,8
112,10
113,10
114,10
115,10
116,10
117,10
118,9
119,9
120,5
121,10
122,6
123,6
124,8
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,9
133,9
134,10
135,9
136,10
137,10
138,7
139,7
140,10
141,8
142,10
143,10
144,9
145,8
146,6
147,10
148,10
149,9
150,10
151,10
152,10
153,10
154,5
155,6
156,10
157,10
158,9
159,10
160,10
161,7
162,10
163,10
164,5
165,10
166,10
167,10
168,10
169,7
170,4
171,4
172,10
173,7
174,7
175,10
176,5
177,10
178,10
179,10
180,10
181,10
182,8
183,9
184,10
185,10
186,10
187,10
188,10
189,10
190,6
191,10
192,10
193,8
194,10
195,10
196,10
197,10
198,10
199,10
200,6
