,steps
0,5
1,10
2,10
3,10
4,10
5,10
6,5
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,6
19,6
20,10
21,6
22,10
23,9
24,7
25,9
26,9
27,10
28,10
29,10
30,8
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,7
41,6
42,5
43,10
44,10
45,10
46,5
47,10
48,10
49,10
50,10
51,10
52,10
53,9
54,10
55,10
56,10
57,9
58,7
59,9
60,9
61,10
62,6
63,10
64,10
65,10
66,10
67,10
68,4
69,8
70,9
71,10
72,4
73,10
74,10
75,10
76,10
77,5
78,7
79,6
80,10
81,10
82,10
83,10
84,4
85,9
86,10
87,10
88,10
89,10
90,10
91,10
92,4
93,10
94,5
95,10
96,10
97,10
98,8
99,10
100,10
