,steps
0,10
1,10
2,5
3,9
4,10
5,10
6,10
7,10
8,6
9,10
10,10
11,10
12,10
13,10
14,10
15,5
16,10
17,10
18,8
19,10
20,10
21,10
22,6
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,7
31,7
32,10
33,8
34,10
35,10
36,10
37,6
38,8
39,10
40,9
41,10
42,7
43,10
44,8
45,10
46,10
47,9
48,10
49,7
50,9
51,10
52,7
53,5
54,10
55,10
56,10
57,9
58,10
59,10
60,10
61,10
62,10
63,10
64,10
65,5
66,10
67,10
68,10
69,10
70,10
71,10
72,10
73,10
74,8
75,6
76,10
77,10
78,8
79,10
80,7
81,7
82,8
83,10
84,9
85,7
86,9
87,10
88,10
89,10
90,10
91,10
92,9
93,9
94,10
95,10
96,10
97,10
98,6
99,10
100,10
101,10
102,5
103,10
104,10
105,8
106,10
107,10
108,10
109,10
110,10
111,6
112,10
113,10
114,10
115,7
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,5
125,9
126,9
127,10
128,10
129,9
130,10
131,10
132,8
133,10
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,9
145,10
146,10
147,10
148,4
149,10
150,10
151,10
152,10
153,5
154,10
155,10
156,10
157,10
158,6
159,4
160,7
161,5
162,10
163,10
164,10
165,6
166,10
167,10
168,6
169,10
170,10
171,9
172,10
173,10
174,7
175,10
176,8
177,6
178,10
179,10
180,7
181,10
182,10
183,5
184,10
185,10
186,10
187,10
188,6
189,8
190,10
191,8
192,10
193,10
194,5
195,10
196,10
197,10
198,10
199,7
200,10
